,자치구,동
0,종로구,사직동
1,종로구,삼청동
2,종로구,부암동
3,종로구,평창동
4,종로구,무악동
5,종로구,교남동
6,종로구,가회동
7,종로구,종로1.2.3.4가동
8,종로구,종로5·6가동
9,종로구,이화동
10,종로구,창신1동
11,종로구,창신2동
12,종로구,창신3동
13,종로구,숭인1동
14,종로구,숭인2동
15,종로구,청운효자동
16,종로구,혜화동
17,중구,소계
18,중구,소공동
19,중구,회현동
20,중구,명동
21,중구,필동
22,중구,장충동
23,중구,광희동
24,중구,을지로동
25,중구,신당5동
26,중구,황학동
27,중구,중림동
28,중구,신당동
29,중구,다산동
30,중구,약수동
31,중구,청구동
32,중구,동화동
33,용산구,소계
34,용산구,후암동
35,용산구,용산2가동
36,용산구,남영동
37,용산구,원효로2동
38,용산구,효창동
39,용산구,용문동
40,용산구,이촌1동
41,용산구,이촌2동
42,용산구,이태원1동
43,용산구,이태원2동
44,용산구,서빙고동
45,용산구,보광동
46,용산구,청파동
47,용산구,원효로1동
48,용산구,한강로동
49,용산구,한남동
50,성동구,소계
51,성동구,왕십리2동
52,성동구,마장동
53,성동구,사근동
54,성동구,행당1동
55,성동구,행당2동
56,성동구,응봉동
57,성동구,금호1가동
58,성동구,금호4가동
59,성동구,성수1가1동
60,성동구,성수1가2동
61,성동구,성수2가1동
62,성동구,성수2가3동
63,성동구,송정동
64,성동구,용답동
65,성동구,왕십리도선동
66,성동구,금호2.3가동
67,성동구,옥수동
68,광진구,소계
69,광진구,화양동
70,광진구,군자동
71,광진구,중곡1동
72,광진구,중곡2동
73,광진구,중곡3동
74,광진구,중곡4동
75,광진구,능동
76,광진구,구의1동
77,광진구,구의2동
78,광진구,구의3동
79,광진구,광장동
80,광진구,자양1동
81,광진구,자양2동
82,광진구,자양3동
83,광진구,자양4동
84,동대문구,소계
85,동대문구,회기동
86,동대문구,휘경1동
87,동대문구,휘경2동
88,동대문구,청량리동
89,동대문구,용신동
90,동대문구,제기동
91,동대문구,전농1동
92,동대문구,전농2동
93,동대문구,답십리1동
94,동대문구,답십리2동
95,동대문구,장안1동
96,동대문구,장안2동
97,동대문구,이문1동
98,동대문구,이문2동
99,중랑구,소계
100,중랑구,면목2동
101,중랑구,면목4동
102,중랑구,면목5동
103,중랑구,면목7동
104,중랑구,상봉1동
105,중랑구,상봉2동
106,중랑구,중화1동
107,중랑구,중화2동
108,중랑구,묵1동
109,중랑구,묵2동
110,중랑구,망우3동
111,중랑구,신내1동
112,중랑구,신내2동
113,중랑구,면목본동
114,중랑구,면목3.8동
115,중랑구,망우본동
116,성북구,소계
117,성북구,돈암1동
118,성북구,돈암2동
119,성북구,안암동
120,성북구,보문동
121,성북구,정릉1동
122,성북구,정릉2동
123,성북구,정릉3동
124,성북구,정릉4동
125,성북구,길음1동
126,성북구,길음2동
127,성북구,월곡1동
128,성북구,월곡2동
129,성북구,장위1동
130,성북구,장위2동
131,성북구,장위3동
132,성북구,성북동
133,성북구,삼선동
134,성북구,동선동
135,성북구,종암동
136,성북구,석관동
137,강북구,소계
138,강북구,번1동
139,강북구,번2동
140,강북구,번3동
141,강북구,수유1동
142,강북구,수유2동
143,강북구,수유3동
144,강북구,삼양동
145,강북구,미아동
146,강북구,송중동
147,강북구,송천동
148,강북구,삼각산동
149,강북구,우이동
150,강북구,인수동
151,도봉구,소계
152,도봉구,쌍문1동
153,도봉구,쌍문2동
154,도봉구,쌍문3동
155,도봉구,쌍문4동
156,도봉구,방학1동
157,도봉구,방학2동
158,도봉구,방학3동
159,도봉구,창1동
160,도봉구,창2동
161,도봉구,창3동
162,도봉구,창4동
163,도봉구,창5동
164,도봉구,도봉1동
165,도봉구,도봉2동
166,노원구,소계
167,노원구,월계1동
168,노원구,월계2동
169,노원구,월계3동
170,노원구,공릉2동
171,노원구,하계1동
172,노원구,하계2동
173,노원구,중계본동
174,노원구,중계1동
175,노원구,중계4동
176,노원구,상계1동
177,노원구,상계2동
178,노원구,상계5동
179,노원구,상계8동
180,노원구,상계9동
181,노원구,상계10동
182,노원구,상계3.4동
183,노원구,상계6.7동
184,노원구,중계2.3동
185,노원구,공릉1동
186,은평구,소계
187,은평구,녹번동
188,은평구,불광1동
189,은평구,갈현1동
190,은평구,갈현2동
191,은평구,구산동
192,은평구,대조동
193,은평구,응암1동
194,은평구,응암2동
195,은평구,신사1동
196,은평구,신사2동
197,은평구,증산동
198,은평구,수색동
199,은평구,진관동
200,은평구,불광2동
201,은평구,응암3동
202,은평구,역촌동
203,서대문구,소계
204,서대문구,천연동
205,서대문구,홍제1동
206,서대문구,홍제3동
207,서대문구,홍제2동
208,서대문구,홍은1동
209,서대문구,홍은2동
210,서대문구,남가좌1동
211,서대문구,남가좌2동
212,서대문구,북가좌1동
213,서대문구,북가좌2동
214,서대문구,충현동
215,서대문구,북아현동
216,서대문구,신촌동
217,서대문구,연희동
218,마포구,소계
219,마포구,용강동
220,마포구,대흥동
221,마포구,염리동
222,마포구,신수동
223,마포구,서교동
224,마포구,합정동
225,마포구,망원1동
226,마포구,망원2동
227,마포구,연남동
228,마포구,성산1동
229,마포구,성산2동
230,마포구,상암동
231,마포구,도화동
232,마포구,서강동
233,마포구,공덕동
234,마포구,아현동
235,양천구,소계
236,양천구,목1동
237,양천구,목2동
238,양천구,목3동
239,양천구,목4동
240,양천구,신월1동
241,양천구,신월2동
242,양천구,신월3동
243,양천구,신월4동
244,양천구,신월5동
245,양천구,신월6동
246,양천구,신월7동
247,양천구,신정1동
248,양천구,신정2동
249,양천구,신정3동
250,양천구,신정6동
251,양천구,신정7동
252,양천구,목5동
253,양천구,신정4동
254,강서구,소계
255,강서구,염창동
256,강서구,등촌1동
257,강서구,등촌2동
258,강서구,등촌3동
259,강서구,화곡본동
260,강서구,화곡2동
