"id	userID	large	medium	small"
"1	1	남자	운동화	캔버스화"
"2	1	남자	운동화	뮬"
"3	1	남자	운동화	슬립온"
"4	1	남자	운동화	어글리슈즈"
"5	1	남자	운동화	스니커즈"
"6	1	남자	운동화	러닝화"
"7	1	남자	운동화	우븐슈즈"
"8	1	남자	구두	더비"
"9	1	남자	구두	로퍼"
"10	1	남자	구두	몽크스트랩"
"11	1	남자	구두	워커/첼시"
"12	1	남자	구두	블로퍼"
"13	1	남자	샌들/슬리퍼	가죽샌들"
"14	1	남자	샌들/슬리퍼	실내화"
"15	1	남자	샌들/슬리퍼	스포츠샌들"
"16	1	남자	샌들/슬리퍼	슬라이드"
"17	1	여자	운동화	캔버스화"
"18	1	여자	운동화	뮬"
"19	1	여자	운동화	슬립온"
"20	1	여자	운동화	어글리슈즈"
"21	1	여자	운동화	스니커즈"
"22	1	여자	운동화	러닝화"
"23	1	여자	운동화	우븐슈즈"
"24	1	여자	구두	플랫"
"25	1	여자	구두	로퍼"
"26	1	여자	구두	펌프스"
"27	1	여자	구두	워커"
"28	1	여자	구두	블로퍼"
"29	1	여자	구두	블링백"
"30	1	여자	구두	부츠"
"31	1	여자	구두	메리제인"
"32	1	여자	샌들/슬리퍼	가죽샌들"
"33	1	여자	샌들/슬리퍼	실내화"
"34	1	여자	샌들/슬리퍼	스포츠샌들"
"35	1	여자	샌들/슬리퍼	슬라이드"
